period,industry_branch,seasonally_adjusted_production,calendar_corrected_production_change_year_on_year,previous_period_seasonally_adjusted_production_change
2024-01-01,total_manufacturing,102.9,-5.1,-4.5
2024-02-01,chemicals,88.3,8,4.3
2024-02-01,pharma,94.7,-5,-12.9
2024-02-01,total_manufacturing,104,-2.9,1.1
2024-03-01,chemicals,86.4,1.6,-2.2
2024-03-01,pharma,97.5,-6.7,3
2024-03-01,total_manufacturing,102.5,-6.4,-1.4
2024-04-01,chemicals,88.2,5.5,2.2
2024-04-01,pharma,99.2,-2.1,1.7
2024-04-01,total_manufacturing,103.6,-4.2,1
2024-05-01,chemicals,86.6,1.9,-1.8
2024-05-01,pharma,107.3,16.5,8.2
2024-05-01,total_manufacturing,102.7,-4.2,-0.8
2024-06-01,chemicals,89.6,-0.2,3.4
2024-06-01,pharma,124.7,2.7,16.2
2024-06-01,total_manufacturing,104.1,-5.2,1.4
2024-07-01,chemicals,85.4,0.2,-4.6
2024-07-01,pharma,111.1,2.7,-10.9
2024-07-01,total_manufacturing,102.9,-4.5,-1.2
2024-08-01,chemicals,83.2,-3.2,-2.6
2024-08-01,pharma,117.9,19.2,6.1
2024-08-01,total_manufacturing,104.9,-0.9,2
2024-09-01,chemicals,82.7,-2.9,-0.7
2024-09-01,pharma,117.2,8.7,-0.6
2024-09-01,total_manufacturing,102.3,-3.1,-2.6
2024-10-01,chemicals,81.8,-5,-1.1
2024-10-01,pharma,117.7,-1.8,0.5
2024-10-01,total_manufacturing,102.5,-1.9,0.2
2024-11-01,chemicals,82.2,-4.2,0.5
2024-11-01,pharma,115.9,8.2,-1.5
2024-11-01,total_manufacturing,103.5,-0.6,1
2024-12-01,chemicals,78.9,-10.8,-4
2024-12-01,pharma,103.8,7.3,-10.4
2024-12-01,total_manufacturing,102.3,-4.7,-1.2
2025-01-01,chemicals,81.2,-4.3,2.8
2025-01-01,pharma,105.3,-3.1,1.5
2025-01-01,total_manufacturing,103.2,0.1,0.9
2025-02-01,chemicals,82.3,-6.5,1.4
2025-02-01,pharma,133.5,41,26.7
2025-02-01,total_manufacturing,103.6,-0.3,0.4
2025-03-01,chemicals,84.3,-2.4,2.6
2025-03-01,pharma,156,60,16.8
2025-03-01,total_manufacturing,104.3,1.4,0.6
2025-04-01,chemicals,80.7,-8.5,-4.3
2025-04-01,pharma,113.5,14.4,-27.2
2025-04-01,total_manufacturing,103.3,-0.2,-1
2025-05-01,chemicals,79.4,-8.6,-1.7
2025-05-01,pharma,124.1,15.7,9.4
2025-05-01,total_manufacturing,103.7,0.9,0.5
2025-06-01,chemicals,80.4,-8.8,1.3
2025-06-01,pharma,109.2,-12.4,-12.1
2025-06-01,total_manufacturing,103.7,-0.1,0
2025-07-01,chemicals,80.7,-5.2,0.4
2025-07-01,pharma,110.1,-0.9,0.9
2025-07-01,total_manufacturing,102.7,-0.3,-0.9
2025-08-01,chemicals,80.4,-3.8,-0.3
2025-08-01,pharma,103.6,-12.1,-6
2025-08-01,total_manufacturing,104.9,0.6,2.1
2025-09-01,chemicals,80.8,-1.9,0.4
2025-09-01,pharma,115,-1.8,11
2025-09-01,total_manufacturing,104.6,2.4,-0.3
2025-10-01,chemicals,79.3,-3.3,-1.9
